wosarticle__doc;wosarticle__di;wosarticle__ti;docauthinst__AU;wosarticle__py;wosarticle__ab
202048;http://dx.doi.org/10.1086/685597;The distributional effects of US clean energy tax credits;"Borenstein, S.; <br>Davis, L.W.";2016;Since 2006, US households have received more than $18 billion in federal income tax credits for weatherizing their homes, installing solar panels, buying hybrid and electric vehicles, and other “clean energy” investments. We use tax return data to examine the socioeconomic characteristics of program recipients. We find that these tax expenditures have gone predominantly to higher- income Americans. The bottom three income quintiles have received about 10% of all credits, while the top quintile has received about 60%. The most extreme is the program aimed at electric vehicles, where we find that the top income quintile has received about 90% of all credits. By comparing to previous work on the distributional consequences of pricing greenhouse gas emissions, we conclude that tax credits are likely to be much less attractive on distributional grounds than market mechanisms to reduce greenhouse gases (GHGs). © 2016 by the National Bureau of Economic Research. All rights reserved.
317484;http://dx.doi.org/10.1080/08111146.2015.1077805;Utilising Mixed Methods Research to Inform Low-carbon Social Housing Performance Policy;"Moore, T; <br>Strengers, Y; <br>Maller, C";2016;"There is an over reliance on cost-benefit analysis in the policy development and evaluation of sustainable housing outcomes. This paper presents both qualitative and quantitative analyses from a multi-year mixed methods evaluation of four new low-carbon social houses in regional Victoria, Australia. Through a cost-benefit lens the housing was not financially viable. Householder interviews highlighted positive social outcomes such as improved health. A narrow focus by housing performance policy makers on cost-benefit analysis results in important understandings about housing and householders being overlooked or undervalued; inclusion of multiple evaluation methods can help to reflect a more realistic sustainable housing future."
374064;http://dx.doi.org/10.1016/j.reseneeco.2016.03.001;On the emissions-inequality and emissions-welfare trade-offs in energy taxation: Evidence on the German car fuels tax;"Nikodinoska, D; <br>Schroder, C; <br>Schroder, C";2016;By-using estimates from a Demographically-Scaled Quadratic Almost Ideal Demand System (DQUAIDS), we investigate how the German car fuels tax changes the private households' CO2 emissions, living standards, and post-tax income distribution. Our results show that the tax implies a trade-off between the aim to reduce emissions and vertical equity, which refers to the idea that people with a greater ability to pay taxes should pay more. (C) 2016 Elsevier B.V. All rights reserved.
409663;http://dx.doi.org/10.1007/s11135-015-0284-z;Impacts of energy subsidy reform on poverty and income inequality in Malaysia;Solaymani, S;2016;Malaysia pays a great share of its gross domestic product on energy subsidies. Payment of subsidies causes some failures in the economy, such as disrupting the price mechanism and destroying allocation of resources in the economy. Removing these subsidies has important implication for sustainable development through their effects on energy consumption, price system, resource allocation and emission. This study employs a computable general equilibrium model, which is a more comprehensive method than statistical and econometric methods, to identify the long-run impacts of energy subsidy reform in the Malaysian economy, especially on poverty and income inequality across four Malaysian ethnic groups, namely Malay, Chinese, Indian, Other in both rural and urban areas, and one noncitizen household. The results of this study indicate that urban households are set to lose most from energy subsidy reform compared to rural and noncitizen households due to increased expenditure. In addition, Malay households, particularly in urban areas, lose more significantly than other household groups. This policy leads to initial increases in the overall inequality in the economy, but the increase in inequality in urban areas is greater than rural areas.
624821;http://dx.doi.org/10.1177/0269094216675434;Why a clearer ‘green industrial policy’ matters for India: Reconciling growth, climate change and inequality;Gopinath, D.;2016;To ensure a healthy growth of the economy particularly in the manufacturing sector, the Indian Government is more than ever focussed on promoting the use of sustainable and affordable energy resources. Recent initiatives such as the Solar Cities Development Programme are a good example. However, in order for these initiatives to gain legitimacy as part of a new ‘green industrial policy’, the Indian Government needs to do more, especially by bringing on board strategies for combating poverty within the gamut of this emerging ‘green industrial policy’ as well as to re-think India’s position on global conventions on climate change. © 2016, © The Author(s) 2016.
819012;http://dx.doi.org/10.1016/j.apenergy.2016.06.073;Can the Green Economy deliver it all? Experiences of renewable energy policies with socio-economic objectives;"Pahle, M; <br>Pachauri, S; <br>Steinbacher, K; <br>Steinbacher, K";2016;"The Green Economy (GE) paradigm aims to reconcile environmental and socio-economic objectives. Policies to deploy renewable energy (RE) are widely perceived as a way to tap the potential synergies of these objectives. It is, however, still largely unclear whether the potential of simultaneously achieving both environmental and socio-economic objectives can be fully realized, and whether and how multiple objectives influence policy design, implementation, and evaluation. We aim to contribute to this aspect of GE research by looking at selected country experiences of renewable energy deployment with respect to the socio-economic goals of job creation or energy access. Across the cases examined, we find the following implications of relevance for the GE framework: First, we confirm the important role of governmental action for GE, with the specific need to state objectives clearly and build monitoring capacity. Second, consistent with the ""strong"" green growth variant of GE, some of the cases suggest that while renewable deployment may indeed lead to short-term socio-economic benefits, these benefits may not last. Third, we underline the urgent need for new methodologies to analyze and better understand multiple objective policies, which are at the heart of the GE paradigm. (C) 2016 Published by Elsevier Ltd."
1635523;http://dx.doi.org/10.1007/s13147-016-0395-6;The Lander in the German energy and climate policy: Distributional issues and federal decision-making;"Monstadt, J; <br>Scheiner, S";2016;Until today, the academic and political debates on the German energy transition have primarily focused on policy activities and processes at either the national or local level. However, they have largely ignored how the Lander shape the federal decision-making on the allocation of greenhouse gas emissions according to their place-based economic interests. The starting point of this paper is the empirical evidence that effective national climate mitigation policies can go along with considerable and spatially unevenly distributed redistributive effects for regional energy industries, energy consumption sectors and thus public budgets of the Lander. Since the costs and benefits of climate mitigation policies are distributed unevenly, the Lander pursue place-based economic and political interests that shape their climate mitigation programs and their positions in federal decision-making. Based on an analysis of the regional economic interests and of the climate mitigation programs of the Lander, the paper uses the cases of the renewable energy policies and the European emission trading system to demonstrate how (re-)distributional conflicts in climate mitigation policies have been reconciled. The case studies show that redistributive policies could be implemented through concessions to single Lander. They also show that through distributive mechanisms, the externalization of costs to the users played a major role, and that the EU could partially dissolve blockades in decision-making. Contrary to findings in the academic debate on German federalism, federal climate mitigation policies have partially stimulated mechanisms for economic and innovation competition between the Lander. However, the findings also demonstrate that the concessions to regional economic interests have reduced the cost-efficiency and effectiveness of the German energy and climate mitigation policies.
1950719;;Greener jobs or re-greened organisation? The energy transition challenge to France's public housing employees;Ughetto, P.;2016;The bodies that supply France's low-cost rental housing (HLM) are experimenting with their first low-energy buildings. What are the consequences for their employees' jobs and skills? At first sight, the impact does not appear to be dramatic, apart from the need to educate tenants about appropriate practices, in particular for local teams (including building caretakers). For the maintenance technicians, the challenge is to make adjustments to equipment characterised by poor coordination between manu-facturers, installers and maintenance companies. As for the programme leaders, they have enjoyed a period of stimulating innovation. For all these professions, however, the priorities that have emerged relate to accumulating experience and contributing to collective learning, which means that the real need is not so much for training as for organisation and management.
96070;;The social dimension of sustainable development in the top emitting countries' climate change policy;Grasso, M.;2015;
159013;http://dx.doi.org/10.1007/978-3-642-38670-1_44;Environmental law, public policies, and climate change: A social-legal analysis in the brazilian context;De Araú Jo, T.L.K.;2015;This chapter aims to analyze the laws and public policies in relation to climate change in Brazil, its implementation, and concrete results. Through a review of legislation and state of the art, this chapter gives evidence to the positive and negative interventions of the public policies since the 1950s until the present moment, using some examples, such as the bad initiative of construction of roads that promoted the deforestation and the good work made in Paragominas, Pará, to reduce environmental degradation and deforestation. As results, this chapter proposes a new perspective of the environmental law and reveals its importance in order to cope with the challenges of climate change and environmental issues, in an integrative way. In order to do so, it seeks to integrate society and governments’ efforts to make possible the changes in the present climate situation, as it has been made in some isolated cases, such as Paragominas. © Springer-Verlag Berlin Heidelberg 2015.
194231;http://dx.doi.org/10.1002/sd.1583;Developing and Testing a Best Practice Framework for Energy Access Interventions;"Chen, XX; <br>Narkeviciute, R; <br>Haselip, J; <br>Mackenzie, GA";2015;This article presents an attempt to operationalize the concept of 'best practice', as applied to project-based interventions to expand energy access in developing countries. To this end a methodology has been developed to quantify project performance across five dimensions, each informed by three key indicators, and aggregate these into a composite indicator, using weights obtained from a survey of experts. The experience demonstrates the inherent limitations in developing a one-size-fits-all' methodology, revealing the implicit tension between the political desire to refer to objective, absolute, measures of best practice and highly contextual realities where baselines are often lacking. However, the methodology does offer a comparative means to highlight the relative strengths and weaknesses of any given project, enabling both ex-post assessments and project learning. The study features an analysis of cases selected from the Energy Access Knowledge Base, published by the Global Network on Energy for Sustainable Development (GNESD). Copyright (c) 2015 John Wiley & Sons, Ltd and ERP Environment
412953;http://dx.doi.org/10.1016/j.gloenvcha.2015.05.006;Regional cooperation in widening energy access and also mitigating climate change: Current programs and future potential;"Uddin, N; <br>Taplin, R";2015;Access to energy can significantly contribute to the development of the living standards of the energy poor. Also if the provision of access to energy is sustainable, i.e. via renewable energy sources, there is an added benefit of contributing to mitigation of climate change. Currently, the percentage of population with access to energy varies significantly between countries and across regions. This is due to the nature of national socio-economic situations and energy resource availability in differing settings. This article addresses issues and hindrances to energy access in regional contexts and also examines, in particular, the prospects of how regional cooperation initiatives linked with climate change mitigation objectives could assist in widening energy access. Existing relevant regional cooperation initiatives that may be upscaled or used as models to widen access to modern energy services are evaluated. Findings are that regional cooperation initiatives linked with climate change mitigation can potentially facilitate widening energy access. However, in order to realise such potential, synergies from regional cooperation that are indirectly linked to energy and wider climate change mitigation programs should be harnessed. Recommendations are made for development of sustainable energy programs in energy deprived regions that will also mitigate climate change impacts. (C) 2015 Elsevier Ltd. All rights reserved.
423759;http://dx.doi.org/10.1109/ICESP.2014.7347009;Integrating renewable energy policies and sustainable development tools for the assessment of policy reforms;"Sandhu, A.K.; <br>Fatima, A.";2015;Energy sector is facing severe supply-demand gaps and multi-pronged issues contributing to huge circular debt. Government of Pakistan is focusing on different problem areas of the sector in the successive policy papers namely, National Power Policy 1994, 1995, 1998 and 2013, Policy for Development of Renewable Energy for Power Generation, 2006 Alternative and Renewable Energy policy, 2011 (also called Mid-term renewable energy policy) specifically highlighting the importance given to Renewable Energy Technology. Bearing in mind these policy documents this paper is aimed at analyzing the prior to renewable policy reforms scenario and other supportive measures from institutional perspective that are still in the phase of formulation by the government. For the reform process, Annual Development Plans/Medium Term Development Framework and Development Outlays (PSDPs) formulated, at the National, Federal and Provincial level, with the base-line analysis provided by Economic Surveys, are of key importance. The Social Development Department of the World Bank presented a sourcebook in 2007, titled 'Tools for Institutional, Political and Social Analysis of Policy Reforms'. This sourcebook encompassed an analytical framework with a wide range of tools for the practitioners and consultants involved in policy analysis in developing countries. This paper uses the institutional tools from amongst them to analyze the policy recommendations of renewable energy. The methodology involves Meso-level (Policy Implementation) analysis with primary focus on institutional analysis that further splits into three broad dimensions namely, Static Mapping, Process Training and Process Mapping. Each of these dimensions is substantiated with relevant examples in this paper. This paper also addresses the vital question: How to make Renewable Energy Sustainable in the case of Pakistan? A plethora of literature deals directly or indirectly with this question. The highpoint of this paper is the integration of Renewable Energy Policies with Sustainable Development vision acclaimed world-wide. The ultimate findings presented in this paper accentuate that Renewable Energy policies and the resultant reforms need to be inclusive, context-based and equitable as well as efficient to have a huge and lasting distributional impact. For the energy sector to contribute positively and progressively Renewable Energy Policies need to be integrated with the Sustainable Development. © 2014 IEEE.
634931;;The Measures of Sustainable Development - a Study Based on the European Monitoring of Energy-related Indicators;"Zelazna, A; <br>Golebiowska, J";2015;"Sustainable socio-economic development is the guiding principle in the European Union policy. The implementation of that principle is monitored by a set of indicators being developed since 1995, referred to as the indicators of sustainable development. The monitoring is conducted both at the level of Member State, as well as of the entire community. The main indicators describing the social, economic and environmental issues of the EU functioning show positive results in regard to the implementation of the sustainable development strategy; however, in the themes related to the issues of social inclusion, sustainable transport, and global partnership, the indicators show a negative trend. In this paper, the sustainable development indicators in the theme of Climate change and energy are described and analyzed in detail. Their changes over the last decades were strongly stimulated by the EU energy policy. In connection with the implementation of numerous programs for the promotion of renewable energy sources, their share in the energy market is growing, whereas the greenhouse gas emissions from the EU area and the primary energy consumption are falling. During the last 25 years, the total man-made GHG emission in the EU was reduced by 18%. It should be noted that these changes are influenced not only by the manner of energy management stimulation in the EU, but also by an equally significant problem of the economic crisis, geopolitical situation, and the resulting economic change. Moreover, some indicators relevant to the concerned theme, such as energy dependency, clearly show a negative trend."
651278;http://dx.doi.org/10.3390/su71215834;Distributional Challenges of Sustainability Policies-The Case of the German Energy Transition;"Gawel, E; <br>Gawel, E; <br>Korte, K; <br>Tews, K";2015;Sustainability policies based on the economic rationale of providing incentives to get prices right inevitably place a significant burden on society and often raise distributional concerns. The social acceptability of Germany's energy transition towards more sustainable generation and usage of energy is frequently the subject of such critical appraisals. The discourse centres upon the burden imposed on electricity users as a result of the promotion of renewable energy sources in the electricity sector in accordance with the German Renewable Energy Sources Act (EEG). A regressive EEG surcharge is suspected of driving up energy prices unreasonably and of being socially unjust. It is also argued that high-income utility owners profit from the EEG system at the expense of low-income electricity consumers (redistribution from bottom to top). The aim of this paper is to examine the validity of these two hypotheses and to show that both exhibit substantial theoretical and empirical weaknesses, with climate and environmental policy being played off against social policy in a questionable manner. At the same time, the article points out remaining conflicts between energy policy and social policy and makes corresponding policy recommendations for their resolution, thus contributing to reconciling distributional concerns arising in the context of incentive-oriented sustainability governance.
652574;http://dx.doi.org/10.1016/j.energy.2015.09.016;Fuel poverty, affordability, and energy justice in England: Policy insights from the Warm Front Program;"Sovacool, BK; <br>Sovacool, BK; <br>Sovacool, BK";2015;"Millions of homes around the world suffer from ""fuel poverty,"" commonly defined as the necessity to spend more than 10 percent of their income paying energy bills. This article first discusses how home energy efficiency schemes, such as those that pay to weatherize doors and windows, install insulation, and give free energy audits, can significantly reduce the prevalence of fuel poverty. It then examines the ""Warm Front"" program in England, which over the course of 2000-2013 saw 2.3 million ""fuel poor"" British homes receive energy efficiency upgrades to save them money and improve their overall health. Warm Front not only lessened the prevalence of fuel poverty; it cut greenhouse gas emissions, produced an average extra annual income of 1894.79 pound per participating household, and reported exceptional customer satisfaction with more than 90 percent of its customers praising the scheme. This study details the history, benefits, and challenges of the program, and it teases out six noteworthy lessons for energy analysts, planners, and policymakers. (C) 2015 Elsevier Ltd. All rights reserved."
686762;;TECHNOLOGICAL INTERVENTIONS FOR LIVELIHOOD DEVELOPMENT AND CLIMATE CHANGE MITIGATION IN INDIAN NORTH-WESTERN HIMALAYAS;"Maninder, JK; <br>Singh, L";2015;The technology transfer for rural livelihood development had greater impact to protect microclimatic conditions which further affects the microflora and microbial activities to larger extent in the Indian Himalayan Region (IHR). The technological interventions were made by the Himalayan Research Group organization which helped in economic upliftment of rural poor, women empowerment and in environment protection in hill region. The major activities are Passive Solar Retrofitting (namely, Thermosyphoning Air heat Panel (TAP), Trombe Wall (TW), and Sun Spaces (SS)) fodder development, vermicompost biotechnology, button mushroom cultivation and protected cultivation for climate change mitigation and adaptations. The solar retrofits reduced estimated 4.97 tones carbon emission per household during six winter months which helped in reducing the fuel wood consumption. Improved varieties of different fodder spp. were introduced for year round green fodder availability and reduce soil erosion and reduction in tree lopping. Fodder choppers and silage preparation was popularized to contain the fodder wastage. Vermicompost biotechnology was popularized among farmers to reduce the use of chemical fertilizers for improving the quality of soil. The button mushroom cultivation was used for conversion of agriculture residue into compost making by reducing crop residue burning which increases carbon emission. Protected cultivation in local made polyhouse was popularized to generate maximum returns from small piece of land through cut flower and vegetable cultivation and by raising plant nurseries.
732676;http://dx.doi.org/10.1007/978-81-322-2065-7_10;Access and transition to LPG cooking fuel by households in Rural India: An assessment of policy and action;Patra, D.;2015;Liquefied petroleum gas (LPG) is the dominant clean cooking fuel in India. Its use is growing at an average of rate of 12% per annum over the past 30 years, and its cooking application is currently racing at 7% per annum. It occupies 3% space in the energy basket of the country and 8% in the oil and gas space. The 66th round of National Sample Survey reveals that only 11.5% of households in rural India use LPG as cooking fuel as against 64.5% in urban India. Census 2011 has put the number at 11.4 and 65%, respectively. In the Energy Development Index (EDI), devised by the International Energy Agency (IEA), the value for India has declined from 0.295 in 2007 to 0.294 in 2011 and that for modern cooking fuel (Kerosene and LPG) from 0.265 to 0.221. The present study analyzes the trend of household consumption and supply of LPG in conjunction with price. The study assesses the status of accessibility (of LPG and other fuels) and affordability of households for LPG, and analyzes the inter-fuel transition during the last decade. It tries to estimate the unrecovered cost of marketing LPG under the current pricing regime and examines its sustainability. The study estimates the investment required for putting up infrastructure and import facilities. The study uses time-series data pertaining to LPG consumers, quantity consumed, LPG distributors, bottling plants, and capacity. Consumption pattern is linked to macroeconomic aggregates like NNP and meaningful conclusions are drawn. Based on a primary survey, it assesses the pattern of LPG use in Indian rural households. © Springer India 2015.
892466;;Socio-economic impacts of the deployment of improved fuel efficient stoves: The ILF uganda commercialization program;"Wiedmer, D.; <br>Jouslin-de-Noray, P.; <br>Graveaud, F.; <br>Jahangiri, V.";2015;Biomass accounts for 91% of the total energy used in Uganda, but is often used unsustainably: if deforestation continues at the present rate, it could lead to the destruction of all Ugandan forests by 2050. As a consequence, wood and charcoal are becoming scarce and their price is increasing. Fuel Efficient Stoves are a way to tackle these issues by decreasing the amount of biomass used for cooking. International Lifeline Fund (ILF) has launched in 2008 the cookstove Uganda Commercialization Program in the region of Lira. The program consists in the local production of improved Fuel Efficient Stoves and their selling to households by local vendors. The socio-economic impacts of this program, both on end users and on the local economy, have been studied during a field mission conducted by ENEA Consulting in 2012. The ILF Fuel Efficient Stoves reduce the domestic consumption of charcoal and energetic expenditures. Interviews of end users confirmed that they feel safer with ILF Fuel Efficient Stoves than with previous devices. They also perceive a reduction of health problems linked to domestic air pollution and an increase in women’s free time. Users also report a positive impact on domestic life as the use of the cookstove reduces the quarrels between husbands and wives by keeping meals warm and ready. Finally, the main local economic benefit along the value chain of the project appears to be the direct creation of several long-term full-time jobs. Possible improvements of the business model will be suggested, in particular to ensure its long-term economic viability. © Author(s) 2015.
1679451;http://dx.doi.org/10.1142/S2010007815500128;HOUSEHOLD DISTRIBUTIONAL AND REVENUE RECYCLING EFFECTS OF THE CARBON PRICE IN AUSTRALIA;"Sajeewani, D; <br>Siriwardana, M; <br>Mcneill, J";2015;The Australian Government introduced a carbon tax from 1 July 2012. The then opposition party leader, now Prime Minister, introduced legislation to repeal the tax. Amongst the many issues being debated is that of the incidence of the tax. In this study, we explore household consumption and income changes arising from a A$23 carbon price employing a computable general equilibrium model (entitled A3E-G). The model has been calibrated using a social accounting matrix database of Australia with 10 household income groups. This carbon price generates A$6.39 billion revenue while reducing Australia's carbon emissions by 11%. The empirical evidence suggests household level impacts range from proportional to mildly progressive tax incidence. In this study, we propose four revenue recycling options to overcome any undesirable distributional effects from the carbon price. Results indicate that revenue recycling through income tax reductions and uniform lump sum transfers improves post tax income levels and welfare towards middle and high income groups. A nonuniform lump sum transferring option favors low income households. Uniform reductions in commodity tax rates are not found to be welfare improving but we find positive impacts on export competitiveness from this option.
1753429;;ANALYSIS OF THE RENEWABLE ENERGY SUBSIDIES ADOPTED BY ROMANIA AND THEIR SOCIAL AND ECONOMIC IMPACT;"Covatariu, A; <br>Khamis, A; <br>Zamfir, AI";2015;"This paper analyzes the support subsidies adopted by Romania and by the other members of the European Union in order to align the ""20 20 by 2020"" energy policy formulated in early 2008 by the European Commission, whose goal is, inter alia, to achieve a 20% share of renewable energy out of the total electricity consumption in Europe. The adoption and management of the support subsidies are the duties of each Member State, which have the right to change, along the way, the legislative coordinates. This document examines the legislative measures taken by Romania in order to achieve the quota proposed by the EU, the socio-economic implications, the proposed legislative changes and the legal framework prospects in which the renewable energy industry operates. This paper includes the comparative study of measures assumed by Romania and those adopted by other European Union members."
1909061;;The Weatherization Assistance Program: Social Policy or Energy Policy and Why It Matters;Terman, JN;2015;Low-income populations spend a larger proportion of their income on energy usage and tend to live in housing stocks that consume more energy. Thus, energy efficiency is cross-cutting goal, connected to both social and energy-related concerns. One case in point is the Weatherization Assistance Program (WAP): a federal program that assists low-income families through education, energy audits and retrofits. While some states have exerted considerable effort to achieve program goals, others have had lackluster results. The study results here suggest that ambitious program - measured as the proportion of home weatherizations planned that were completed - is influenced by whether states view the program as a social policy-oriented program.
1959723;http://dx.doi.org/10.1007/978-3-319-20831-2_4;Challenges and priorities for a sustainable built environment in Southern Europe-the impact of energy efficiency measures and renewable energies on employment;Santamouris, M.;2015;The present chapter tries to identify the main advantages of energy conservation measures as well as of the renewable energies on economy and labour. Most of the existing studies foccusing in Southern European climates are presented discussed and analysed. © Springer International Publishing Switzerland 2016.
99205;http://dx.doi.org/10.1057/9781137287311;Poverty and climate change: The three tasks of transformative global social policy;"St. Clair, A.L.; <br>Lawson, V.";2014;
156503;http://dx.doi.org/10.1016/j.rser.2014.05.031;Analysis of fuel and energy transition in Lithuanian households sector and its sustainable development in compliance with the EU policy;"Gaigalis, V; <br>Skema, R";2014;The article provides the analysis of fuel and energy transition in Lithuanian households sector and its sustainable development after the integration of Lithuania into the European Union (EU) and covers the period 2005-2012. Lithuania has limited quantity of indigenous energy resources and is depended from the import of energy resources, such as natural gas, petroleum and hard coal. Up to the year 2009 about 70-80% of electricity was produced from Ignalina NPP. At the end of 2009, according to the requirements of EU, Ignalina NPP was closed. Lithuania's energy dependence on the imports of fuel increased remarkably from 503% in 2009 to about 82% in 2010-2012 and considerably exceeded the EU average 54%. The share of renewable and indigenous energy sources in gross inland fuel and energy consumption increased from 14.7% in 2009 to 19.5% in 2012. About 40.4% of RES and indigenous energy belonged to households sector and 44.9% were transformed in Combined Heat and Power (CHP), and only 14.7% belonged to industry and other sectors. In article, the sustainable development of Lithuanian and European households were overviewed and recent analysis of Lithuanian households sector was carried out. Dwellings were sorted by the year of construction. Distribution of households by dwelling type and heated area was assessed. Final fuel and energy consumption and distribution by different consumer groups were shown. In 2009-2012 final fuel and energy consumption of Lithuanian households comprised about 65 PJ or 33% of all final consumption. Household's energy consumption by different energy sources was disclosed. In 2012 about 36.5% of household's energy consumption belonged to solid biofuels and about 31.7% to heat energy. Electricity consumptions of households and electricity prices for household consumers were indicated and comparisons with EU-27 countries were made. Lithuanian RES flows diagram was constructed and RES share for households was revealed. The reduction of greenhouse gases emissions in Lithuania and other European countries was indicated. (C) 2014 Elsevier Ltd. All rights reserved.
490456;http://dx.doi.org/10.1016/j.enbuild.2014.07.027;A methodological framework for assessing the employment effects associated with energy efficiency interventions in buildings;"Mirasgedis, S; <br>Tourkolias, C; <br>Pavlakis, E; <br>Diakoulaki, D";2014;The global trend toward a low carbon, sustainable economy is widely acknowledged to create a large number of jobs across many sectors of the economy. The deployment of renewable and energy efficiency projects represent a large share of the so called green jobs and help retain current levels of employment especially in countries facing the socio-economic threat of increasing unemployment rates. These effects should be taken into account during the process of energy planning, but due to difficulties in their quantification this is not always feasible. This paper utilizes the input output analysis and the adjusted earnings gain approach for assessing the employment effects associated with the implementation of energy saving interventions in the building sector, with a view to produce results that can be easily incorporated into cost benefit analyses. The proposed framework, which comprises four basic steps, namely identification of all the potential changes in employment due to energy efficiency interventions, quantification of these employment effects in physical terms, calculation of the net present value of the estimated employment effects and monetization, has been implemented for three energy efficiency interventions widely implemented in Greek buildings. The results of the analysis clearly show that the exploitation of energy saving technologies in the Greek building stock generates significant employment benefits, ranging between (sic)0.11 and 0.23 million per (sic)1 million of investment in the base case scenario and reaching the 10-24% of the energy costs savings attributed to the implementation of these interventions throughout their entire lifetime. (C) 2014 Elsevier B.V. All rights reserved.
517645;http://dx.doi.org/10.4028/www.scientific.net/AMR.869-870.840;Did the introduction of carbon tax in australia affect housing affordability?;Ge, X.J.;2014;The Australian carbon pricing scheme (carbon tax) was introduced and became effective on 01 July 2012. The introduction of the carbon tax immediately increases the cost of electricity to a number of industries such as manufacturing and construction. Households were also affected as a result of these costs been passed through the supply chain of the affected industries. The carbon tax policy was introduced to addresses greenhouse emissions and energy consumption in Australia. However, the carbon tax policy may have introduced a number of economic risk factors to the Australian housing market, in particular the impact of housing affordability. © (2014) Trans Tech Publications, Switzerland.
733259;http://dx.doi.org/10.1016/j.enpol.2013.11.021;Energy poverty reduction by fuel switching. Impact evaluation of the LPG conversion program in Indonesia;"Andadari, RK; <br>Mulder, P; <br>Rietveld, P";2014;In low- and middle-income countries, Liquefied Petroleum Gas (LPG) can be an attractive alternative to the widespread use of traditional kerosene. Not only is LPG a relatively clean, safe and cost-effective fuel for households, its large-scale adoption also reduces the heavy burden of kerosene consumption subsidies on government budgets. Against this background, we evaluate the impact of a large government program to substitute LPG for kerosene in Indonesia. Using a household survey across urban, suburban and rural regions we find that this program was very effective in causing a large scale shift from kerosene to LPG. This shift was positively influenced by level of education, household size and household income. Contradicting the energy-ladder model, the LPG program, reinforced by an increase in the price of kerosene, led to increased stacking of fuels, including increasing consumption of both electricity and traditional biomass. In addition, our analysis shows that the LPG program failed to substantially reduce the overall number of energy-poor people, but it has been effective in alleviating extreme energy-poverty. Finally, we find that medium and higher income households in suburban areas benefitted most from the LPG program. (C) 2013 Elsevier Ltd. All rights reserved.
763859;http://dx.doi.org/10.1016/j.enpol.2014.04.008;Distributional effects of the Australian Renewable Energy Target (RET) through wholesale and retail electricity price impacts;"Cludius, J; <br>Cludius, J; <br>Forrest, S; <br>MacGill, I; <br>MacGill, I";2014;The Australian Renewable Energy Target (RET) has spurred significant investment in renewable electricity generation, notably wind power, over the past decade. This paper considers distributional implications of the RET for different energy users. Using time-series regression, we show that the increasing amount of wind energy has placed considerable downward pressure on wholesale electricity prices through the so-called merit order effect. On the other hand, RET costs are passed on to consumers in the form of retail electricity price premiums. Our findings highlight likely significant redistributive transfers between different energy user classes under current RET arrangements. In particular, some energy-intensive industries are benefiting from lower wholesale electricity prices whilst being largely exempted from contributing to the costs of the scheme. By contrast, many households are paying significant RET pass through costs whilst not necessarily benefiting from lower wholesale prices. A more equitable distribution of RET costs and benefits could be achieved by reviewing the scope and extent of industry exemptions and ensuring that methodologies to estimate wholesale price components in regulated electricity tariffs reflect more closely actual market conditions. More generally, these findings support the growing international appreciation that policy makers need to integrate distributional assessments into policy design and implementation. (C) 2014 Elsevier Ltd. All rights reserved.
1689413;;ENERGY ACCESS AND HOUSEHOLD RISK TRANSITIONS IN SOUTH AFRICA;"Kimemia, DK; <br>Annegarn, HJ";2014;Despite the commendable success in household electrification, energy poverty is still a challenge in South Africa [1], with many residents of low-income settlements unable either to afford or to access modern energy carriers. Energy related accidents such as shack fires and paraffin poisonings are a common phenomenon amongst poor communities, resulting in health and economic losses. This paper reports on two research projects that studied environmental risk transitions vis-A-vis energy poverty and the progress made in promoting modern energy access in South Africa. In the first project, the premise that energy poverty is a major determinant of energy incidents is tested with nationally representative household energy consumption surveys and hospital treatment data through quantitative analysis. The second project evaluated the impacts of an LPG intervention programme as a proxy for progress in modern energy access. Results indicate a positive non-linear relationship between poverty on one hand and the risk of injury from household energy use. The apparent household risk is generally much larger amongst non-electrified households, especially those using a combination of paraffin and candles. Results show that access to LPG reduces energy expenditure and improves overall wellbeing of households. Policy interventions arising from these findings include a need for promotion of programmes that raise awareness of domestic energy safety issues within vulnerable communities, and national energy interventions to substitute paraffin with cleaner safer modern fuels.
1959774;http://dx.doi.org/10.1007/s10273-014-1705-7;The German energy transition from the perspective of social justice;"Heindl, P.; <br>Schüßler, R.; <br>Löschel, A.";2014;The transition of the German energy system towards renewable energy carriers triggers considerable costs for private households. Costs are passed through to households by a surcharge per kilowatt hour. This effectively leads to high cost burdens for poorer households relative to wealthier ones. The authors discuss the issue from the perspective of social justice and argue that costs are distributed in an unfair manner. In the light of the rising costs of renewable energy promotion, affordability of energy among the poorest should receive increasing attention. Measures of fuel poverty and deprivation with respect to energy could serve as adequate ex-post indicators of non-affordability and should be considered in Germany. © 2014 ZBW and Springer-Verlag Berlin Heidelberg.
1410;http://dx.doi.org/10.1080/00074918.2013.850641;Fuel Taxes and the Poor: The Distributional Effects of Gasoline Taxation and Their Implications for Climate Policy;"Spiller, E; <br>Spiller, E; <br>Wagner, G";2013;
